,0,1,2,3,4,5,6,7,8,9,10,11
63,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0
64,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0
65,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0
66,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0
67,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0
68,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0
69,7000.0,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0
70,6950.0,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0
71,7175.0,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0
72,7025.0,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0
73,6975.0,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0
74,7075.0,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0
